p_d,f_d,samplesize,n
71,65,50,1
35,49,50,2
127,65,50,3
47,14,50,4
21,58,50,5
63,56,50,6
42,49,50,7
26,54,50,8
78,25,50,9
28,86,50,10
75,95,50,11
40,18,50,12
87,46,50,13
26,44,50,14
33,30,50,15
52,84,50,16
42,25,50,17
125,70,50,18
47,4,50,19
14,81,50,20
87,70,50,21
54,70,50,22
85,53,50,23
108,44,50,24
87,63,50,25
89,61,50,26
42,74,50,27
21,84,50,28
85,18,50,29
110,86,50,30
118,74,50,31
59,42,50,32
7,39,50,33
24,81,50,34
35,16,50,35
42,74,50,36
103,53,50,37
120,21,50,38
127,68,50,39
16,47,50,40
45,47,50,41
80,51,50,42
92,46,50,43
80,95,50,44
110,84,50,45
125,67,50,46
94,40,50,47
71,25,50,48
49,49,50,49
12,70,50,50
