id;x;y
683;3456515,964;-1555820,118
682;3456480,066;-1555400,061
681;3456496,326;-1555034,738
680;3456533,173;-1554588,835
679;3456472,904;-1554207,998
678;3456471,611;-1553809,307
677;3456471,611;-1553409,307
676;3456471,611;-1553009,307
772;3456871,611;-1550209,307
771;3456871,611;-1549809,307
770;3456871,611;-1549409,307
769;3456871,611;-1549009,307
768;3456871,611;-1548609,307
767;3456854,238;-1548221,203
766;3456778,23;-1547904,812
684;3456574,372;-1556068,09
667;3456471,611;-1549409,307
666;3456471,611;-1549009,307
665;3456471,611;-1548609,307
664;3456471,611;-1548209,307
663;3456473,528;-1547861,34
579;3456171,809;-1555327,55
578;3456134,499;-1555093,288
576;3456100,169;-1554140,526
675;3456471,611;-1552609,307
674;3456471,611;-1552209,307
673;3456471,611;-1551809,307
672;3456471,611;-1551409,307
671;3456471,611;-1551009,307
670;3456471,611;-1550609,307
669;3456471,611;-1550209,307
668;3456471,611;-1549809,307
877;3457271,611;-1551009,307
876;3457271,611;-1550609,307
875;3457271,611;-1550209,307
874;3457271,611;-1549809,307
873;3457271,611;-1549409,307
872;3457271,611;-1549009,307
871;3457222,607;-1548659,058
870;3457098,664;-1548369,262
885;3457271,611;-1554209,307
884;3457271,611;-1553809,307
883;3457271,611;-1553409,307
882;3457271,611;-1553009,307
881;3457271,611;-1552609,307
880;3457271,611;-1552209,307
879;3457271,611;-1551809,307
878;3457271,611;-1551409,307
780;3456871,611;-1553409,307
779;3456871,611;-1553009,307
778;3456871,611;-1552609,307
777;3456871,611;-1552209,307
776;3456871,611;-1551809,307
775;3456871,611;-1551409,307
774;3456871,611;-1551009,307
773;3456871,611;-1550609,307
788;3456998,079;-1556545,961
787;3456894,991;-1556190,271
786;3456871,611;-1555809,307
785;3456871,611;-1555409,307
784;3456871,611;-1555009,307
783;3456871,611;-1554609,307
782;3456871,611;-1554209,307
781;3456871,611;-1553809,307
357;3455271,611;-1549009,307
356;3455277,376;-1548615,235
355;3455373,976;-1548334,43
261;3455026,451;-1551647,802
260;3454890,676;-1551381,909
259;3454871,611;-1551009,307
258;3454871,611;-1550609,307
257;3454871,611;-1550209,307
457;3455813,376;-1547966,396
364;3455179,864;-1551677,164
363;3455265,593;-1551402,251
362;3455271,611;-1551009,307
361;3455271,611;-1550609,307
360;3455271,611;-1550209,307
359;3455271,611;-1549809,307
358;3455271,611;-1549409,307
153;3454471,632;-1549809,328
152;3454533,173;-1549442,35
151;3454624,548;-1549119,85
53;3454198,084;-1550876,462
52;3454153,094;-1550598,084
51;3454094,878;-1550212,906
50;3454179,861;-1549876,003
256;3454871,611;-1549809,307
255;3454871,611;-1549409,307
254;3454880,052;-1549017,163
253;3454974,968;-1548708,462
157;3454534,54;-1551347,556
156;3454490,84;-1550992,431
155;3454471,611;-1550609,307
154;3454471,611;-1550209,307
567;3456071,611;-1550609,307
566;3456071,611;-1550209,307
565;3456071,611;-1549809,307
564;3456071,611;-1549409,307
563;3456071,611;-1549009,307
562;3456071,611;-1548609,307
561;3456071,611;-1548209,307
560;3456093,281;-1547887,663
575;3456071,611;-1553809,307
574;3456071,611;-1553409,307
573;3456071,611;-1553009,307
572;3456071,611;-1552609,307
571;3456071,611;-1552209,307
570;3456071,611;-1551809,307
569;3456071,611;-1551409,307
568;3456071,611;-1551009,307
465;3455671,611;-1551009,307
464;3455671,611;-1550609,307
463;3455671,611;-1550209,307
462;3455671,611;-1549809,307
461;3455671,611;-1549409,307
460;3455671,611;-1549009,307
459;3455671,611;-1548609,307
458;3455689,897;-1548230,008
473;3455816,245;-1554060,939
472;3455794,834;-1553826,832
471;3455847,519;-1553416,387
470;3455784,458;-1552975,371
469;3455762,168;-1552623,542
468;3455774,746;-1552179,429
467;3455723,009;-1551816,787
466;3455675,95;-1551403,982
1292;3458871,611;-1552209,307
1291;3458871,611;-1551809,307
1290;3458871,611;-1551409,307
1289;3458871,611;-1551009,307
1288;3458871,611;-1550609,307
1287;3458871,611;-1550209,307
1286;3458871,611;-1549809,307
1285;3458871,611;-1549409,307
1300;3458871,611;-1555409,307
1299;3458871,611;-1555009,307
1298;3458871,611;-1554609,307
1297;3458871,611;-1554209,307
1296;3458871,611;-1553809,307
1295;3458871,611;-1553409,307
1294;3458871,611;-1553009,307
1293;3458871,611;-1552609,307
1200;3458471,611;-1556609,307
1199;3458471,611;-1556209,307
1198;3458471,611;-1555809,307
1197;3458471,611;-1555409,307
1196;3458471,611;-1555009,307
1195;3458471,611;-1554609,307
1194;3458471,611;-1554209,307
1193;3458471,611;-1553809,307
1284;3458876,732;-1549023,315
1283;3459060,948;-1548805,179
1206;3458630,11;-1558848,215
1205;3458496,631;-1558579,183
1204;3458471,611;-1558209,307
1203;3458477,572;-1557814,602
1202;3458528,161;-1557414,785
1201;3458494,207;-1556991,337
1394;3459271,611;-1551809,307
1393;3459271,611;-1551409,307
1392;3459271,611;-1551009,307
1391;3459271,611;-1550609,307
1390;3459271,611;-1550209,307
1389;3459271,611;-1549809,307
1388;3459271,611;-1549409,307
1387;3459271,611;-1549009,307
1402;3459271,611;-1555009,307
1401;3459271,611;-1554609,307
1400;3459271,611;-1554209,307
1399;3459271,611;-1553809,307
1398;3459271,611;-1553409,307
1397;3459271,611;-1553009,307
1396;3459271,611;-1552609,307
1395;3459271,611;-1552209,307
1308;3458871,611;-1558609,307
1307;3458871,611;-1558209,307
1306;3458871,611;-1557809,307
1305;3458871,611;-1557409,307
1304;3458871,611;-1557009,307
1303;3458871,611;-1556609,307
1302;3458871,611;-1556209,307
1301;3458871,611;-1555809,307
1386;3459330,507;-1548752,04
1382;3459461,67;-1546823,342
1381;3459376,78;-1546558,502
1380;3459324,958;-1546204,775
1379;3459344,847;-1545838,072
1378;3459432,033;-1545572,569
1310;3459001,099;-1559331,923
1309;3458904,482;-1558983,863
991;3457671,611;-1555409,307
990;3457671,611;-1555009,307
989;3457671,611;-1554609,307
988;3457671,611;-1554209,307
987;3457671,611;-1553809,307
986;3457671,611;-1553409,307
985;3457671,611;-1553009,307
984;3457671,611;-1552609,307
1081;3458071,611;-1550209,307
1080;3458071,611;-1549809,307
1079;3458071,611;-1549409,307
1078;3458068,503;-1549042,587
995;3457828,138;-1556903,536
994;3457695,961;-1556518,337
993;3457671,611;-1556209,307
992;3457671,611;-1555809,307
975;3457667,686;-1549014,403
974;3457540,826;-1548783,733
891;3457232,384;-1556529,712
890;3457271,611;-1556209,307
889;3457271,611;-1555809,307
888;3457271,611;-1555409,307
887;3457271,611;-1555009,307
886;3457271,611;-1554609,307
983;3457671,611;-1552209,307
982;3457671,611;-1551809,307
981;3457671,611;-1551409,307
980;3457671,611;-1551009,307
979;3457671,611;-1550609,307
978;3457671,611;-1550209,307
977;3457671,611;-1549809,307
976;3457671,611;-1549409,307
1184;3458471,611;-1550209,307
1183;3458471,611;-1549809,307
1182;3458471,611;-1549409,307
1181;3458473,638;-1549046,223
1102;3458213,053;-1558482,093
1101;3458176,359;-1558226,345
1100;3458243,759;-1557914,009
1098;3458071,945;-1556901,943
1192;3458471,611;-1553409,307
1191;3458471,611;-1553009,307
1190;3458471,611;-1552609,307
1189;3458471,611;-1552209,307
1188;3458471,611;-1551809,307
1187;3458471,611;-1551409,307
1186;3458471,611;-1551009,307
1185;3458471,611;-1550609,307
1089;3458071,611;-1553409,307
1088;3458071,611;-1553009,307
1087;3458071,611;-1552609,307
1086;3458071,611;-1552209,307
1085;3458071,611;-1551809,307
1084;3458071,611;-1551409,307
1083;3458071,611;-1551009,307
1082;3458071,611;-1550609,307
1097;3458071,696;-1556609,276
1096;3458071,611;-1556209,307
1095;3458071,611;-1555809,307
1094;3458071,611;-1555409,307
1093;3458071,611;-1555009,307
1092;3458071,611;-1554609,307
1091;3458071,611;-1554209,307
1090;3458071,611;-1553809,307
1619;3460071,611;-1559409,307
1618;3460071,611;-1559009,307
1617;3460071,611;-1558609,307
1616;3460071,611;-1558209,307
1615;3460071,611;-1557809,307
1614;3460071,611;-1557409,307
1613;3460071,611;-1557009,307
1612;3460071,611;-1556609,307
1687;3460471,611;-1545409,307
1686;3460492,172;-1545052,287
1625;3460265,636;-1561645,968
1624;3460225,919;-1561358,099
1623;3460215,533;-1561015,396
1622;3460086,988;-1560580,245
1621;3460082,393;-1560204,049
1620;3460071,611;-1559809,307
1603;3460071,611;-1553009,307
1602;3460071,611;-1552609,307
1601;3460071,611;-1552209,307
1600;3460071,611;-1551809,307
1599;3460071,611;-1551409,307
1598;3460071,611;-1551009,307
1597;3460071,611;-1550609,307
1596;3460071,611;-1550209,307
1611;3460071,611;-1556209,307
1610;3460071,611;-1555809,307
1609;3460071,611;-1555409,307
1608;3460071,611;-1555009,307
1607;3460071,611;-1554609,307
1606;3460071,611;-1554209,307
1605;3460071,611;-1553809,307
1604;3460071,611;-1553409,307
1711;3460471,611;-1555009,307
1710;3460471,611;-1554609,307
1709;3460471,611;-1554209,307
1708;3460471,611;-1553809,307
1707;3460471,611;-1553409,307
1706;3460471,611;-1553009,307
1705;3460471,611;-1552609,307
1704;3460471,611;-1552209,307
1719;3460471,611;-1558209,307
1718;3460471,611;-1557809,307
1717;3460471,611;-1557409,307
1716;3460471,611;-1557009,307
1715;3460471,611;-1556609,307
1714;3460471,611;-1556209,307
1713;3460471,611;-1555809,307
1712;3460471,611;-1555409,307
1695;3460471,611;-1548609,307
1694;3460471,611;-1548209,307
1693;3460471,611;-1547809,307
1692;3460471,611;-1547409,307
1691;3460471,611;-1547009,307
1690;3460471,611;-1546609,307
1689;3460471,611;-1546209,307
1688;3460471,611;-1545809,307
1703;3460471,611;-1551809,307
1702;3460471,611;-1551409,307
1701;3460471,611;-1551009,307
1700;3460471,611;-1550609,307
1699;3460471,611;-1550209,307
1698;3460471,611;-1549809,307
1697;3460471,611;-1549409,307
1696;3460471,611;-1549009,307
1492;3459671,611;-1549809,307
1491;3459671,611;-1549409,307
1490;3459671,611;-1549009,307
1489;3459691,741;-1548628,934
1488;3459810,013;-1548293,355
1486;3459823,554;-1547294,91
1485;3459717,132;-1546978,147
1484;3459671,611;-1546609,307
1500;3459671,611;-1553009,307
1499;3459671,611;-1552609,307
1498;3459671,611;-1552209,307
1497;3459671,611;-1551809,307
1496;3459671,611;-1551409,307
1495;3459671,611;-1551009,307
1494;3459671,611;-1550609,307
1493;3459671,611;-1550209,307
1410;3459271,611;-1558209,307
1409;3459271,611;-1557809,307
1408;3459271,611;-1557409,307
1407;3459271,611;-1557009,307
1406;3459271,611;-1556609,307
1405;3459271,611;-1556209,307
1404;3459271,611;-1555809,307
1403;3459271,611;-1555409,307
1483;3459671,611;-1546209,307
1482;3459671,611;-1545809,307
1481;3459703,687;-1545481,01
1415;3459468,781;-1560011,253
1414;3459344,432;-1559761,698
1413;3459274,289;-1559406,793
1412;3459271,611;-1559009,307
1411;3459271,611;-1558609,307
1587;3460071,611;-1546609,307
1586;3460071,611;-1546209,307
1585;3460071,611;-1545809,307
1584;3460073,415;-1545411,196
1583;3460161,805;-1545138,362
1519;3459857,853;-1560621,226
1518;3459732,576;-1560060,905
1517;3459671,611;-1559809,307
1595;3460071,611;-1549809,307
1594;3460071,611;-1549409,307
1593;3460071,611;-1549009,307
1592;3460071,611;-1548609,307
1591;3460072,092;-1548209,77
1590;3460103,431;-1547813,793
1589;3460074,976;-1547406,39
1588;3460071,611;-1547009,307
1508;3459671,611;-1556209,307
1507;3459671,611;-1555809,307
1506;3459671,611;-1555409,307
1505;3459671,611;-1555009,307
1504;3459671,611;-1554609,307
1503;3459671,611;-1554209,307
1502;3459671,611;-1553809,307
1501;3459671,611;-1553409,307
1516;3459671,611;-1559409,307
1515;3459671,611;-1559009,307
1514;3459671,611;-1558609,307
1513;3459671,611;-1558209,307
1512;3459671,611;-1557809,307
