Transect.Label;Sample.Label;x;y
1;1-1;3491961,194;-1538603,170
1;1-2;3492228,280;-1538307,670
1;1-3;3492543,710;-1538064,390
1;1-4;3492855,876;-1537824,500
1;1-5;3493240,242;-1537796,810
1;1-6;3493624,270;-1537734,620
1;1-7;3494000,889;-1537611,820
1;1-8;3494380,705;-1537562,490
1;1-9;3494758,222;-1537450,640
1;1-10;3495118,252;-1537280,310
1;1-11;3495436,767;-1537080,440
1;1-12;3495609,754;-1536723,700
1;1-13;3495790,460;-1536385,030
1;1-14;3496097,235;-1536554,600
1;1-15;3496423,537;-1536781,200
1;1-16;3496774,084;-1536966,010
1;1-17;3497155,666;-1537078,890
1;1-18;3497538,653;-1537149,140
1;1-19;3497910,193;-1537157,720
1;1-20;3498244,385;-1536955,810
1;1-21;3498565,758;-1536730,470
1;1-22;3498921,529;-1536622,980
1;1-23;3499312,535;-1536586,050
1;1-24;3499636,650;-1536380,600
1;1-25;3499968,179;-1536170,470
1;1-26;3500331,152;-1536007,510
1;1-27;3500653,610;-1535792,080
1;1-28;3500984,656;-1535599,750
1;1-29;3501267,062;-1535319,850
1;1-30;3501514,381;-1535011,020
1;1-31;3501829,798;-1534766,650
1;1-32;3502202,933;-1534640,680
1;1-33;3502581,471;-1534541,810
1;1-34;3502966,064;-1534503,820
1;1-35;3503356,548;-1534446,720
1;1-36;3503752,498;-1534491,130
1;1-37;3504139,742;-1534581,460
1;1-38;3504514,572;-1534559,300
1;1-39;3504869,404;-1534416,490
1;1-40;3505210,100;-1534387,020
1;1-41;3505547,252;-1534592,400
1;1-42;3505932,858;-1534631,130
1;1-43;3506137,504;-1534968,140
1;1-44;3506283,074;-1535200,832
2;2-1;3505229,810;-1536261,230
2;2-2;3504889,381;-1536420,830
2;2-3;3504600,803;-1536659,950
2;2-4;3504316,310;-1536916,260
2;2-5;3503934,613;-1536864,000
2;2-6;3503561,889;-1536979,520
2;2-7;3503268,346;-1537247,520
2;2-8;3502934,392;-1537437,200
2;2-9;3502641,934;-1537709,420
2;2-10;3502450,804;-1538049,460
2;2-11;3502216,719;-1538338,750
2;2-12;3501880,433;-1538537,720
2;2-13;3501574,527;-1538794,690
2;2-14;3501224,961;-1538979,970
2;2-15;3500910,567;-1539216,910
2;2-16;3500666,013;-1539525,410
3;3-1;3490750,840;-1539622,880
3;3-2;3490846,004;-1539862,730
3;3-3;3491026,587;-1540185,720
3;3-4;3490933,594;-1540568,490
3;3-5;3490993,662;-1540963,290
3;3-6;3490883,821;-1541287,690
3;3-7;3490636,967;-1541565,780
3;3-8;3490315,119;-1541679,020
3;3-9;3490398,922;-1542004,020
3;3-10;3490541,836;-1542339,170
3;3-11;3490788,692;-1542240,620
3;3-12;3491003,605;-1542270,080
3;3-13;3491266,939;-1542531,750
3;3-14;3491490,884;-1542828,410
3;3-15;3491847,251;-1542953,680
3;3-16;3492107,937;-1542987,410
3;3-17;3492261,267;-1542762,060
3;3-18;3492574,602;-1542645,340
3;3-19;3492888,911;-1542444,590
3;3-20;3493249,050;-1542377,380
3;3-21;3493503,574;-1542400,340
3;3-22;3493841,439;-1542501,820
3;3-23;3494061,238;-1542530,112
4;4-1;3498827,183;-1540970,390
4;4-2;3498541,287;-1540814,050
4;4-3;3498273,307;-1540553,020
4;4-4;3497979,736;-1540350,110
4;4-5;3497811,686;-1540010,470
4;4-6;3497506,555;-1539820,820
4;4-7;3497310,720;-1539598,090
4;4-8;3497098,395;-1539347,630
4;4-9;3497063,800;-1539008,310
4;4-10;3496802,151;-1538766,150
4;4-11;3496591,804;-1538494,710
4;4-12;3496457,239;-1538139,830
4;4-13;3496384,032;-1537776,220
4;4-14;3496327,775;-1537420,510
4;4-15;3496232,621;-1537148,660
4;4-16;3496096,854;-1536816,030
5;5-1;3485413,261;-1541226,720
5;5-2;3485440,264;-1541608,370
5;5-3;3485327,875;-1541986,730
5;5-4;3485189,016;-1542350,270
5;5-5;3484996,807;-1542675,000
5;5-6;3484790,001;-1543009,350
5;5-7;3484472,095;-1543224,610
5;5-8;3484143,318;-1543413,100
5;5-9;3484091,431;-1543758,130
5;5-10;3483949,089;-1544126,960
5;5-11;3483784,498;-1544483,690
5;5-12;3483668,958;-1544862,590
5;5-13;3483477,728;-1545205,920
5;5-14;3483249,170;-1545508,810
5;5-15;3482973,246;-1545787,200
5;5-16;3482801,341;-1546129,900
5;5-17;3482511,917;-1546373,660
5;5-18;3482125,858;-1546462,290
5;5-19;3481757,770;-1546375,530
5;5-20;3481414,740;-1546173,510
5;5-21;3481067,588;-1545976,750
5;5-22;3480724,454;-1545772,960
5;5-23;3480379,117;-1545572,530
5;5-24;3480033,421;-1545372,390
5;5-25;3479691,533;-1545167,540
5;5-26;3479346,266;-1544967,580
5;5-27;3479000,640;-1544767,880
5;5-28;3478657,500;-1544566,130
5;5-29;3478314,646;-1544364,850
5;5-30;3477980,653;-1544176,550
5;5-31;3477635,045;-1543976,550
5;5-32;3477336,730;-1543942,170
5;5-33;3477180,381;-1544303,650
5;5-34;3477033,821;-1544664,390
5;5-35;3476848,245;-1545000,900
5;5-36;3476716,892;-1545367,560
5;5-37;3476556,544;-1545715,430
5;5-38;3476255,708;-1545958,240
5;5-39;3475926,737;-1546075,700
5;5-40;3475556,331;-1546169,840
5;5-41;3475210,313;-1546266,470
5;5-42;3474873,127;-1546307,880
5;5-43;3474535,870;-1546461,750
5;5-44;3474175,210;-1546486,910
5;5-45;3473800,223;-1546486,250
5;5-46;3473577,705;-1546241,540
5;5-47;3473285,165;-1545999,840
5;5-48;3472986,619;-1545834,400
5;5-49;3472689,676;-1545621,910
5;5-50;3472378,511;-1545555,690
5;5-51;3472022,198;-1545553,360
5;5-52;3471672,381;-1545663,320
5;5-53;3471311,901;-1545703,370
5;5-54;3471089,469;-1545943,860
5;5-55;3470781,301;-1546173,060
5;5-56;3470405,950;-1546276,670
5;5-57;3470085,617;-1546409,000
5;5-58;3469751,453;-1546515,570
5;5-59;3469445,113;-1546714,590
5;5-60;3469073,360;-1546696,830
5;5-61;3468728,566;-1546711,740
5;5-62;3468623,778;-1547062,310
5;5-63;3468283,332;-1546882,670
5;5-64;3468233,399;-1546632,440
6;6-1;3463837,634;-1544116,160
6;6-2;3463518,327;-1544343,700
6;6-3;3463391,644;-1544712,870
6;6-4;3463123,203;-1545006,820
6;6-5;3462780,336;-1545141,580
6;6-6;3462408,250;-1545045,660
6;6-7;3462153,756;-1544753,860
6;6-8;3461813,501;-1544706,250
6;6-9;3461459,445;-1544731,010
6;6-10;3461085,662;-1544733,570
7;7-1;3460980,675;-1544720,570
7;7-2;3461208,362;-1544686,510
7;7-3;3461598,796;-1544744,520
7;7-4;3461937,287;-1544661,480
7;7-5;3462079,947;-1544342,010
7;7-6;3462358,573;-1544248,330
7;7-7;3462535,181;-1544469,990
7;7-8;3462674,392;-1544796,040
7;7-9;3462479,970;-1545074,932
7;7-10;3462195,667;-1544815,579
7;7-11;3462106,270;-1544985,193
7;7-12;3461960,741;-1545286,115
7;7-13;3461058,161;-1545819,507
7;7-14;3460867,765;-1546063,417
7;7-15;3460612,268;-1545955,652
7;7-16;3460594,640;-1545591,204
7;7-17;3460610,156;-1545315,443
7;7-18;3460534,740;-1545112,689
7;7-19;3459515,771;-1547052,526
7;7-20;3459716,544;-1547299,616
7;7-21;3460058,928;-1547412,693
7;7-22;3460248,976;-1547625,223
7;7-23;3460232,597;-1547988,610
7;7-24;3460056,972;-1548364,080
7;7-25;3460042,571;-1548783,237
7;7-26;3459785,405;-1549025,261
7;7-27;3459389,130;-1549069,018
7;7-28;3460194,454;-1545237,099
7;7-29;3459904,494;-1545234,941
8;8-1;3474901,990;-1546405,292
8;8-2;3474710,332;-1546746,791
8;8-3;3474478,525;-1547048,574
8;8-4;3474192,414;-1547280,805
8;8-5;3474003,413;-1547607,287
8;8-6;3473845,944;-1547909,704
8;8-7;3473721,589;-1548227,926
8;8-8;3473571,996;-1548526,181
8;8-9;3473244,355;-1548663,284
8;8-10;3473158,933;-1548970,281
8;8-11;3473372,769;-1549283,644
8;8-12;3473504,941;-1549578,557
8;8-13;3473698,964;-1549836,318
8;8-14;3473865,889;-1550088,975
8;8-15;3474232,347;-1550208,458
8;8-16;3474461,948;-1550521,953
8;8-17;3474263,624;-1550611,392
8;8-18;3473970,578;-1550534,440
8;8-19;3473706,926;-1550803,149
8;8-20;3473401,159;-1550846,450
8;8-21;3473133,595;-1550716,517
8;8-22;3472782,498;-1550548,359
8;8-23;3472393,461;-1550472,293
8;8-24;3472007,391;-1550401,098
