"","wkt_geom","id","left","top","right","bottom","x","y","area","Nhat"
"1","Point (3456515.96419823030009866 -1555820.11836753902025521)","683",3456271.6112541,-1555609.30706091,3456671.6112541,-1556009.30706091,3456515.964,-1555820.118,160000,18.2611705516187
"2","Point (3456480.06621492840349674 -1555400.06106333015486598)","682",3456271.6112541,-1555209.30706091,3456671.6112541,-1555609.30706091,3456480.066,-1555400.061,160000,17.169132715244
"3","Point (3456496.3257888425141573 -1555034.73772736568935215)","681",3456271.6112541,-1554809.30706091,3456671.6112541,-1555209.30706091,3456496.326,-1555034.738,160000,16.1994104338718
"4","Point (3456533.17336027137935162 -1554588.83541343850083649)","680",3456271.6112541,-1554409.30706091,3456671.6112541,-1554809.30706091,3456533.173,-1554588.835,160000,15.3193235347499
"5","Point (3456472.90363802667707205 -1554207.9977657706476748)","679",3456271.6112541,-1554009.30706091,3456671.6112541,-1554409.30706091,3456472.904,-1554207.998,160000,15.5589576687508
"6","Point (3456471.61125410441309214 -1553809.30706091457977891)","678",3456271.6112541,-1553609.30706091,3456671.6112541,-1554009.30706091,3456471.611,-1553809.307,160000,15.3154308265784
"7","Point (3456471.61125410441309214 -1553409.30706091457977891)","677",3456271.6112541,-1553209.30706091,3456671.6112541,-1553609.30706091,3456471.611,-1553409.307,160000,14.9289877760855
"8","Point (3456471.61125410441309214 -1553009.30706091457977891)","676",3456271.6112541,-1552809.30706091,3456671.6112541,-1553209.30706091,3456471.611,-1553009.307,160000,14.2263087709444
"9","Point (3456871.61125410441309214 -1550209.30706091457977891)","772",3456671.6112541,-1550009.30706091,3457071.6112541,-1550409.30706091,3456871.611,-1550209.307,160000,2.43611036934453
"10","Point (3456871.61125410441309214 -1549809.30706091457977891)","771",3456671.6112541,-1549609.30706091,3457071.6112541,-1550009.30706091,3456871.611,-1549809.307,160000,1.75846879781179
"11","Point (3456871.61125410441309214 -1549409.30706091457977891)","770",3456671.6112541,-1549209.30706091,3457071.6112541,-1549609.30706091,3456871.611,-1549409.307,160000,1.29724767020755
"12","Point (3456871.61125410441309214 -1549009.30706091457977891)","769",3456671.6112541,-1548809.30706091,3457071.6112541,-1549209.30706091,3456871.611,-1549009.307,160000,0.997622309821687
"13","Point (3456871.61125410441309214 -1548609.30706091457977891)","768",3456671.6112541,-1548409.30706091,3457071.6112541,-1548809.30706091,3456871.611,-1548609.307,160000,0.815058047169584
"14","Point (3456854.23784339474514127 -1548221.20304516679607332)","767",3456671.6112541,-1548009.30706091,3457071.6112541,-1548409.30706091,3456854.238,-1548221.203,160000,0.720439716044611
"15","Point (3456778.22981564654037356 -1547904.81245581153780222)","766",3456671.6112541,-1547609.30706091,3457071.6112541,-1548009.30706091,3456778.23,-1547904.812,160000,0.691684112104074
"16","Point (3456574.3719994411803782 -1556068.08980897441506386)","684",3456271.6112541,-1556009.30706091,3456671.6112541,-1556409.30706091,3456574.372,-1556068.09,160000,18.7978115935681
"17","Point (3456471.61125410441309214 -1549409.30706091457977891)","667",3456271.6112541,-1549209.30706091,3456671.6112541,-1549609.30706091,3456471.611,-1549409.307,160000,1.5144219554851
"18","Point (3456471.61125410441309214 -1549009.30706091457977891)","666",3456271.6112541,-1548809.30706091,3456671.6112541,-1549209.30706091,3456471.611,-1549009.307,160000,1.14001622874299
"19","Point (3456471.61125410441309214 -1548609.30706091457977891)","665",3456271.6112541,-1548409.30706091,3456671.6112541,-1548809.30706091,3456471.611,-1548609.307,160000,0.9070296400739
"20","Point (3456471.61125410441309214 -1548209.30706091457977891)","664",3456271.6112541,-1548009.30706091,3456671.6112541,-1548409.30706091,3456471.611,-1548209.307,160000,0.774563390888931
"21","Point (3456473.52839073166251183 -1547861.33965249196626246)","663",3456271.6112541,-1547609.30706091,3456671.6112541,-1548009.30706091,3456473.528,-1547861.34,160000,0.721568100500755
"22","Point (3456171.80897597316652536 -1555327.54958128370344639)","579",3455871.6112541,-1555209.30706091,3456271.6112541,-1555609.30706091,3456171.809,-1555327.55,160000,20.5310239276305
"23","Point (3456134.4994987822137773 -1555093.28754815110005438)","578",3455871.6112541,-1554809.30706091,3456271.6112541,-1555209.30706091,3456134.499,-1555093.288,160000,20.3058887409713
"24","Point (3456100.16885052621364594 -1554140.52643433399498463)","576",3455871.6112541,-1554009.30706091,3456271.6112541,-1554409.30706091,3456100.169,-1554140.526,160000,19.1053656133282
"25","Point (3456471.61125410441309214 -1552609.30706091457977891)","675",3456271.6112541,-1552409.30706091,3456671.6112541,-1552809.30706091,3456471.611,-1552609.307,160000,13.0620131286307
"26","Point (3456471.61125410441309214 -1552209.30706091457977891)","674",3456271.6112541,-1552009.30706091,3456671.6112541,-1552409.30706091,3456471.611,-1552209.307,160000,11.4293572013402
"27","Point (3456471.61125410441309214 -1551809.30706091457977891)","673",3456271.6112541,-1551609.30706091,3456671.6112541,-1552009.30706091,3456471.611,-1551809.307,160000,9.48467202280406
"28","Point (3456471.61125410441309214 -1551409.30706091457977891)","672",3456271.6112541,-1551209.30706091,3456671.6112541,-1551609.30706091,3456471.611,-1551409.307,160000,7.47530972014317
"29","Point (3456471.61125410441309214 -1551009.30706091457977891)","671",3456271.6112541,-1550809.30706091,3456671.6112541,-1551209.30706091,3456471.611,-1551009.307,160000,5.63182645637789
"30","Point (3456471.61125410441309214 -1550609.30706091457977891)","670",3456271.6112541,-1550409.30706091,3456671.6112541,-1550809.30706091,3456471.611,-1550609.307,160000,4.10008519486755
"31","Point (3456471.61125410441309214 -1550209.30706091457977891)","669",3456271.6112541,-1550009.30706091,3456671.6112541,-1550409.30706091,3456471.611,-1550209.307,160000,2.92784600605973
"32","Point (3456471.61125410441309214 -1549809.30706091457977891)","668",3456271.6112541,-1549609.30706091,3456671.6112541,-1550009.30706091,3456471.611,-1549809.307,160000,2.0874307880829
"33","Point (3457271.61125410441309214 -1551009.30706091457977891)","877",3457071.6112541,-1550809.30706091,3457471.6112541,-1551209.30706091,3457271.611,-1551009.307,160000,3.93968869925289
"34","Point (3457271.61125410441309214 -1550609.30706091457977891)","876",3457071.6112541,-1550409.30706091,3457471.6112541,-1550809.30706091,3457271.611,-1550609.307,160000,2.90273906079656
"35","Point (3457271.61125410441309214 -1550209.30706091457977891)","875",3457071.6112541,-1550009.30706091,3457471.6112541,-1550409.30706091,3457271.611,-1550209.307,160000,2.11456634481881
"36","Point (3457271.61125410441309214 -1549809.30706091457977891)","874",3457071.6112541,-1549609.30706091,3457471.6112541,-1550009.30706091,3457271.611,-1549809.307,160000,1.55150847918932
"37","Point (3457271.61125410441309214 -1549409.30706091457977891)","873",3457071.6112541,-1549209.30706091,3457471.6112541,-1549609.30706091,3457271.611,-1549409.307,160000,1.16958526751943
