"","area","transect","transect_length","detected","object","perp_dist","forw_dist","cluster_size","obs_time","X_observer","Y_observer"
"1",487,1,16.849,1,1,22,45,1,2021-09-06 06:20:00,"E031°23.097'","S 13°40.881'"
"2",487,4,6.309,1,4,73,24,1,2021-09-06 17:32:00,"E031°25.104'","S 13°41.940'"
"3",487,5,24.618,1,5,52,26,1,2021-09-07 06:42:00,"E031°18.003'","S 13°43.816'"
"4",487,5,24.618,1,6,22,0,1,2021-09-07 06:58:00,"E031°17.425'","S 13°44.984'"
"5",487,15,18.516,1,16,17,7,1,2021-09-10 08:16:00,"E031°09.650'","S 13°51.872'"
"6",487,21,12.752,1,22,57,20,1,2021-09-11 07:51:00,"E031°06.219'","S 13°51.845'"
"7",487,34,24.618,1,35,72,7,1,2021-09-14 15:55:00,"E031°09.337'","S 13°45.592'"
"8",487,34,24.618,1,36,79,69,1,2021-09-14 16:54:00,"E031°13.983'","S 13°44.721'"
"9",487,34,24.618,1,37,56,17,1,2021-09-14 17:26:00,"E031°16.797'","S 13°45.478'"
"10",487,35,16.849,1,39,29,21,1,2021-09-15 06:58:00,"E031°26.821'","S 13°39.876'"
"11",487,35,16.849,1,40,10,60,1,2021-09-15 07:07:00,"E031°27.305'","S 13°39.441'"
"12",487,35,16.849,1,41,20,50,1,2021-09-15 07:26:00,"E031°28.623'","S 13°39.248'"
"13",487,35,16.849,1,42,25,10,1,2021-09-15 07:33:00,"E031°28.752'","S 13°39.253'"
"14",487,36,7.108,1,43,69,31,1,2021-09-15 08:48:00,"E031°32.646'","S 13°38.163'"
"15",487,38,12.223,1,45,53,21,1,2021-09-16 06:47:00,"E031°12.839'","S 13°45.611'"
"16",487,49,18.837,1,57,97,40,1,2021-09-20 07:02:00,"E031°06.312'","S 13°48.458'"
"17",487,60,14.628,1,68,29,27,1,2021-09-25 06:08:00,"E031°06.301'","S 13°48.832'"
"18",487,64,8.208,1,72,23,43,1,2021-09-26 16:21:00,"E031°21.390'","S 13°43.322'"
"19",487,64,8.208,1,73,36,5,1,2021-09-26 16:29:00,"E031°21.758'","S 13°43.418'"
"20",487,66,16.849,1,75,23,4,1,2021-09-27 06:15:00,"E031°23.629'","S 13°40.764'"
"21",487,66,16.849,1,76,20,28,1,2021-09-27 06:54:00,"E031°27.884'","S 13°39.221'"
"22",487,66,16.849,1,77,40,25,1,2021-09-27 07:01:00,"E031°28.435'","S 13°39.199'"
"23",487,67,7.108,1,78,31,12,1,2021-09-27 07:51:00,"E031°33.735'","S 13°37.434'"
"24",487,71,12.569,1,82,26,65,1,2021-09-28 17:41:00,"E031°12.730'","S 13°45.745'"
