"","area","transect","transect_length","detected","object","perp_dist","forw_dist","cluster_size","obs_time","X_observer","Y_observer"
"1",487,1,16.849,1,1,55,41,2,2021-09-06 07:35:00,"E031°28.684'","S 13°39.249'"
"2",487,5,24.618,1,5,27,102,8,2021-09-07 06:32:00,"E031°18.367'","S 13°43.503'"
"3",487,5,24.618,1,6,69,77,1,2021-09-07 08:00:00,"E031°13.844'","S 13°45.051'"
"4",487,7,11.859,1,8,224,195,5,2021-09-07 16:53:00,"E031°05.579'","S 13°45.029'"
"5",487,7,11.859,1,9,148,25,1,2021-09-07 17:17:00,"E031°05.276'","S 13°45.263'"
"6",487,7,11.859,1,10,34,4,1,2021-09-07 17:27:00,"E031°05.265'","S 13°44.807'"
"7",487,7,11.859,1,11,73,0,2,2021-09-07 17:43:00,"E031°04.617'","S 13°45.039'"
"8",487,7,11.859,1,12,20,9,8,2021-09-07 18:02:00,"E031°04.809'","S 13°45.952'"
"9",487,11,10.269,1,16,32,15,2,2021-09-08 16:44:00,"E031°05.110'","S 13°48.124'"
"10",487,12,3.05,1,17,85,68,4,2021-09-08 17:35:00,"E031°04.926'","S 13°50.996'"
"11",487,13,18.755,1,18,65,21,3,2021-09-09 17:06:00,"E031°02.248'","S 13°48.126'"
"12",487,13,18.755,1,19,30,344,15,2021-09-09 17:10:00,"E031°02.385'","S 13°48.117'"
"13",487,13,18.755,1,20,57,81,13,2021-09-09 17:23:00,"E031°02.762'","S 13°48.491'"
"14",487,13,18.755,1,21,48,59,10,2021-09-09 17:30:00,"E031°02.940'","S 13°48.748'"
"15",487,17,2.664,1,25,159,37,2,2021-09-10 15:46:00,"E031°05.823'","S 13°53.781'"
"16",487,17,2.664,1,26,287,0,3,2021-09-10 16:04:00,"E031°05.325'","S 13°53.542'"
"17",487,18,8.174,1,27,67,0,11,2021-09-10 16:22:00,"E031°05.595'","S 13°52.550'"
"18",487,19,6.675,1,28,75,7,1,2021-09-10 17:39:00,"E031°03.956'","S 13°50.775'"
"19",487,20,5.367,1,29,87,63,6,2021-09-11 06:17:00,"E031°05.262'","S 13°45.247'"
"20",487,21,12.752,1,30,99,90,2,2021-09-11 07:24:00,"E031°05.550'","S 13°52.065'"
"21",487,21,12.752,1,31,7,143,2,2021-09-11 09:21:00,"E031°06.301'","S 13°48.068'"
"22",487,26,18.755,1,36,140,26,3,2021-09-12 06:35:00,"E031°04.286'","S 13°46.959'"
"23",487,26,18.755,1,37,13,47,4,2021-09-12 08:16:00,"E031°02.180'","S 13°48.121'"
